ID,Condition,Embodiment,Eask,Extraversion,Agreeableness,Conscientiousness,Emotional Stability,Openness,Manipulation Check,Happy,Social,Emotional,Capable,Responsive,Interactive,Reliable,Competent,Knowledgeable,Fake-Natural,Machinelike-Humanlike,Unconsious-Conscious,Artificial-Lifelike,Rigid-Elegant,Dead-Alive,Stagnant-Lively,Mechanical-Organic,Artificial-Lifelike 2,Inert-Interactive,Apathetic-Responsive,Dislike-Like,Unfriendly-Friendly,Unkind-Kind,Unpleasant-Pleasant,Awful-Nice,Incompetent-Competent,Ignorant-Knowledgeable,Irresponsible-Responsible,Unintelligent-Intelligent,Foolish-Sensible,Gender,trial_1,trial_2,trial_3,trial_4,trial_5,ROSAS: Warmth,ROSAS: Competence,GS: Anthro,GS: Animacy,GS: Likeability,GS: PI,Distance
21601,0,Social,Task,4,6,6,4.5,4,true,2,3,3,5,5,4,5,4,3,3,2,3,2,3,4,4,2,3,4,5,4,5,5,5,4,4,3,5,4,4,Male,0.861,0.856,0.854,0.823,0.854,2.6666666667,4.3333333333,2.6,3.6666666667,4.6,4,84.96
21601,1,Social,No task,4,6,6,4.5,4,true,2,4,3,5,5,5,5,4,3,4,3,4,3,2,4,4,3,3,4,5,4,5,5,5,4,4,3,5,4,4,Male,0.905,0.866,0.857,0.877,0.903,3,4.5,3.2,3.8333333333,4.6,4,88.16
21701,11,Functional,No task,3,5,6.5,6,6,true,4,1,1,4,4,1,4,5,3,3,1,3,2,3,2,2,1,2,1,1,3,2,3,3,3,3,3,2,3,3,Male,0.713,0.754,0.753,0.87,0.809,2,3.5,2.4,1.5,2.8,2.8,77.98
21701,10,Functional,Task,3,5,6.5,6,6,true,4,4,3,4,4,2,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,Male,0.8,0.675,0.677,0.76,0.719,3.6666666667,3.6666666667,3.6,3.8333333333,3.4,3.6,72.62
22401,1,Social,No task,3.5,2.5,5.5,6,5.5,true,2,2,4,3,2,3,3,3,3,3,3,3,2,2,3,2,2,2,3,2,3,2,3,3,3,3,3,4,4,4,Male,0.595,0.636,0.611,0.693,0.658,2.6666666667,2.8333333333,2.6,2.3333333333,2.8,3.6,63.86
22401,0,Social,Task,3.5,2.5,5.5,6,5.5,true,1,2,4,4,4,4,3,3,3,4,4,3,4,1,4,2,2,3,4,2,4,2,2,2,3,4,3,4,4,3,Male,0.653,0.721,0.752,0.673,0.693,2.3333333333,3.5,3.2,2.8333333333,2.6,3.6,69.84
22402,0,Social,Task,2.5,1.5,6,5.5,6.5,false,2,4,4,5,4,4,5,3,4,2,2,4,2,2,4,3,2,2,4,4,4,4,3,4,4,3,4,4,4,3,Female,0.622,0.577,0.572,0.55,0.539,3.3333333333,4.1666666667,2.4,3.1666666667,3.8,3.6,57.2
22402,1,Social,No task,2.5,1.5,6,5.5,6.5,false,3,4,3,4,4,4,4,4,4,4,2,4,2,2,3,3,2,2,4,4,3,3,4,4,4,4,4,4,4,4,Female,0.527,0.495,0.471,0.509,0.475,3.3333333333,4,2.8,3,3.6,4,49.54
22801,11,Functional,No task,4,4.5,6.5,3.5,5.5,true,3,1,1,2,2,2,4,3,4,1,1,2,2,1,3,1,1,1,2,2,2,1,2,1,3,2,4,3,3,3,Female,0.829,0.691,0.658,0.639,0.588,1.6666666667,2.8333333333,1.4,1.6666666667,1.8,3,68.1
22801,10,Functional,Task,4,4.5,6.5,3.5,5.5,true,1,1,1,3,3,2,4,4,4,1,1,4,1,1,3,4,1,1,3,3,1,1,1,1,3,3,4,3,4,3,Female,0.798,0.752,0.77,0.737,0.747,1,3.3333333333,1.6,2.5,1.4,3.4,76.08
